DISTRICTE;CODI_ILLA;SECC_CENS;BARRI;NOM_DISTRICTE;NOM_BARRI;AEB;HABITANTS;NUM_PARC;NUM_LOCALS;NUM_VIVENDES;NUM_PARKINGS;NUM_ALTRES;SUP_CONS;SUP_SOBRE_RASANT;SUP_SOTA_RASANT;SUP_LOCALS;SUP_SERVEIS;SUP_SOL;DATA_DADES
03;23070;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;9;63;0;2;61;123039;101353;21686;123039;0;184340;15/04/15
03;23080;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;14;71;0;1;70;98988;97083;1905;98988;0;188395;15/04/15
03;23090;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;164;1695;0;442;1253;465057;462973;2084;427136;37921;864483;15/04/15
03;23100;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;53;0;0;53;188442;188442;0;188442;0;517187;15/04/15
03;23110;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;19;165;0;2;163;487199;460741;26458;484211;2988;1215092;15/04/15
03;23121;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;2;30;0;0;30;9546;9546;0;9546;0;15858;15/04/15
03;23122;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;26;0;0;26;5698;5698;0;5698;0;27225;15/04/15
03;23123;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;12;0;0;12;3545;3545;0;3545;0;17534;15/04/15
03;23141;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;5;25;0;1;24;26272;21703;4569;26272;0;35787;15/04/15
03;23142;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;34;0;0;34;9301;9301;0;9301;0;37104;15/04/15
03;23150;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;2;7;0;0;7;9161;9161;0;9161;0;19547;15/04/15
03;23160;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;2;13;0;0;13;10451;10451;0;10451;0;18094;15/04/15
03;23170;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;59;0;0;59;21140;21140;0;21140;0;112216;15/04/15
03;23180;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;2;12;52;1;0;51;25446;25446;0;25446;0;79034;15/04/15
03;23190;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;0;0;0;0;0;0;0;0;0;0;0;15/04/15
03;23241;027;13;Sants-Montjuic;la Marina de Port;061;454;3;217;208;0;9;16771;16771;0;14172;2599;7703;15/04/15
03;23242;026;13;Sants-Montjuic;la Marina de Port;061;260;4;120;120;0;0;9898;9898;0;7928;1970;4345;15/04/15
03;23243;026;13;Sants-Montjuic;la Marina de Port;061;741;8;332;332;0;0;30249;30249;0;24716;5533;5630;15/04/15
03;23251;027;13;Sants-Montjuic;la Marina de Port;061;1084;12;911;493;379;39;59170;55564;3606;51696;7474;47675;15/04/15
03;23252;027;13;Sants-Montjuic;la Marina de Port;061;212;6;111;76;0;35;7931;7729;202;7024;907;5064;15/04/15
03;23260;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;4;0;0;4;2918;2918;0;2918;0;43771;15/04/15
03;23270;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;0;0;0;0;0;0;0;0;0;11145;15/04/15
03;23280;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;0;0;0;0;0;0;0;0;0;45624;15/04/15
